Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_09772_mrna	17.0	20.0	6.0	41.0	12.0	21.0	33.0	49.0	27.0	35.0	22.0	32.0	38.0	49.0	53.0	12.0	1.0	4.0	15.0	20.0	29.0
BC332_20636_mrna	75.0	61.0	63.0	391.0	251.0	249.0	440.0	388.0	414.0	224.0	144.0	133.0	126.0	110.0	175.0	15.0	8.0	27.0	6.0	9.0	11.0
BC332_15020_mrna	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00092	0.0
BC332_11874_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_16035_mrna	730.0	782.0	438.0	1376.0	971.0	1154.0	1255.0	1009.0	1419.0	1566.0	1347.0	1344.0	1297.0	1474.0	1114.0	1314.0	1241.0	1337.0	1633.0	1293.0	1193.0
BC332_24848_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_07277_mrna	239.037	238.6	123.367	200.953	191.956	173.217	141.233	138.258	170.122	130.813	127.023	82.3955	52.514	57.449	76.3037	10.3145	25.4009	34.6526	40.621	84.1951	68.489
BC332_00723_mrna	46.0	91.0	54.0	137.0	94.0	108.0	61.0	80.0	115.0	62.0	89.0	72.0	47.0	32.0	50.0	37.0	29.0	40.0	52.0	41.0	38.0
BC332_34493_mrna	102.457	149.744	85.0348	156.487	152.202	182.49	76.4239	24.5051	56.6855	49.8384	22.1201	31.9928	152.219	620.303	57.8701	1008.96	1534.23	1361.18	1341.74	767.011	1618.92
BC332_21693_mrna	89.0	90.0	31.0	24.0	30.0	29.9881	7.0	4.0	6.0	17.0	7.0	2.0	2.0	5.0	1.0	6.0	19.0	10.0	20.0	24.0	19.0
