Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_21336_mrna,536.0,568.0,454.0,360.0,427.0,440.0
BC332_24214_mrna,5.0,12.0,15.0,4.0,0.0,11.0
BC332_24408_mrna,3033.0,2852.0,2773.0,2474.0,2385.0,3356.0
BC332_15930_mrna,2.0,0.0,1.0,0.0,0.0,0.0
BC332_15227_mrna,82.0,79.0,34.0,53.0,48.0,104.0
BC332_23253_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_24022_mrna,398.0,363.0,362.0,374.0,486.0,538.0
BC332_04619_mrna,0.0,1.0,0.0,0.0,0.0,0.0
BC332_07743_mrna,746.0,547.0,578.0,1193.0,1296.0,966.0
BC332_02757_mrna,6337.0,7658.0,4070.0,1564.0,6681.0,2770.0
BC332_29423_mrna,29.0,49.0,0.0,1.0,9.0,0.0
BC332_34001_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_11406_mrna,123.0,105.0,102.0,42.0,70.0,39.0
BC332_05354_mrna,236.0,218.0,182.0,153.0,200.0,225.0
BC332_34581_mrna,1.0,0.0,1.0,0.0,0.0,1.0
BC332_29935_mrna,137.0,129.0,125.0,136.0,185.0,188.0
BC332_04366_mrna,1.0,3.0,0.0,0.0,0.0,0.0
BC332_13584_mrna,531.0,494.0,464.0,278.0,366.0,312.0
BC332_26796_mrna,0.0,0.0,0.0,0.0,0.0,2.67775
BC332_29403_mrna,0.0,4.0,0.0,3.0,3.0,0.0
BC332_03061_mrna,920.0,911.0,716.0,792.0,1109.0,649.0
BC332_19289_mrna,692.0,597.0,529.0,408.0,464.0,454.0
BC332_00695_mrna,19.0,22.0,8.0,25.0,18.0,33.0
BC332_00153_mrna,86.0,83.0,66.0,36.0,53.0,57.0
BC332_12117_mrna,16854.0,16994.0,13297.0,4303.0,4284.0,6358.0
BC332_01884_mrna,1929.0,1709.0,1515.0,269.0,492.0,555.0
BC332_24977_mrna,23.0,25.0,19.0,11.0,10.0,33.0
BC332_21304_mrna,0.0,0.0,2.94e-08,0.0,0.0,0.0
BC332_12143_mrna,685.0,530.0,483.0,207.0,174.0,353.0
BC332_16915_mrna,113.0,160.0,127.0,223.0,183.0,184.0
BC332_04919_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_19362_mrna,1756.0,1645.0,1401.0,1446.0,1238.0,1921.0
BC332_24962_mrna,604.0,521.0,478.0,362.0,496.0,441.0
BC332_18416_mrna,547.0,490.0,404.0,301.0,304.0,428.0
BC332_32141_mrna,7631.0,7047.0,7061.0,6790.0,7696.0,8032.0
BC332_20314_mrna,235.0,222.0,238.0,149.0,176.0,199.0
BC332_18103_mrna,84.0,88.0,75.0,78.0,78.0,85.0
BC332_17691_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_08708_mrna,970.0,681.0,614.0,746.0,904.0,527.0
BC332_34222_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_24476_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_10932_mrna,131.0,110.0,102.0,4.0,0.0,8.0
BC332_15835_mrna,56.0,69.0,46.0,28.0,30.0,42.0
BC332_11485_mrna,422.698,549.011,466.308,419.145,511.968,544.139
BC332_12007_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_31469_mrna,1686.34,1850.87,1466.0,761.759,538.258,1045.75
BC332_09185_mrna,2.0,0.0,3.0,0.0,0.0,2.0
BC332_23903_mrna,1065.0,997.0,912.0,1302.0,1621.0,1631.0
BC332_23581_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_12515_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_00923_mrna,0.0,0.0,0.0,0.0,0.0,2.0
BC332_20240_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_21615_mrna,1.0,0.0,1.0,3.0,2.0,5.0
BC332_20297_mrna,50.0,52.1087,41.0,13.0,121.0,63.0
BC332_12936_mrna,645.0,402.0,494.0,285.0,498.0,510.0
BC332_10454_mrna,65.0,50.0,35.0,13.0,19.0,23.0
BC332_06513_mrna,448.0,360.0,247.0,59.0,38.0,142.0
BC332_08761_mrna,3884.0,3541.0,3223.0,3492.14,2880.11,3492.0
BC332_07117_mrna,812.0,1021.0,819.0,849.0,830.0,1154.0
BC332_08545_mrna,1.0,1.0,5.0,0.0,41.0,0.0
BC332_34100_mrna,852.0,862.0,792.0,760.0,681.0,1007.0
BC332_24159_mrna,6756.6,5045.6,5904.0,3979.67,4853.0,5682.63
BC332_14242_mrna,1.0,7.0,1.0,1.0,0.0,4.0
BC332_26635_mrna,585.0,561.0,485.0,606.0,855.0,752.0
BC332_27195_mrna,30.0,54.0,17.0,0.0,0.0,1.0
BC332_17767_mrna,5545.54,4625.8,4587.62,5404.62,8499.56,6358.41
BC332_15510_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_14835_mrna,1.0,1.0,1.0,1.0,1.0,1.0
BC332_20750_mrna,9739.99,8292.99,8562.69,7075.0,5188.0,6769.83
BC332_24943_mrna,126.009,113.071,106.423,71.3097,76.8501,102.735
BC332_22250_mrna,238.0,199.0,171.0,237.0,366.0,297.0
BC332_28395_mrna,2718.0,2718.0,2353.0,1449.0,2842.0,3298.0
BC332_02404_mrna,793.0,824.0,716.0,629.0,613.0,713.0
BC332_23613_mrna,12.0,5.0,3.0,2.0,12.0,4.0
BC332_11372_mrna,5.0,7.0,4.0918,7.0,2.0,5.0
BC332_32977_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_14878_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_02333_mrna,1949.0,1567.0,1686.0,2465.0,1865.0,2735.0
BC332_19732_mrna,16098.0,13032.0,11935.0,11557.0,9821.0,8173.0
BC332_16615_mrna,160.0,210.0,160.0,203.0,245.0,166.0
BC332_04840_mrna,0.0,1.0,0.0,0.0,0.0,0.0
BC332_09323_mrna,594.0,702.0,525.0,488.0,427.0,568.0
BC332_04360_mrna,697.0,575.0,520.0,469.0,537.0,470.0
BC332_23192_mrna,2.0,0.0,0.0,0.0,0.0,0.0
BC332_17684_mrna,181.0,167.0,156.0,154.0,152.0,211.0
